score (before),action,score (after),score (status)
11,DOUBLE DOWN,21,draw,0,11,7
16,SURRENDER,16,surrendered,0,16,12
13,HIT,23,bust,0,13,8
15,SURRENDER,15,surrendered,5,15,6
12,HIT,22,bust,0,12,4
14,HIT,23,bust,5,14,11
12,HIT,22,bust,10,12,5
15,SURRENDER,15,surrendered,0,15,12
13,HIT,17,unsettled,4,13,7
17,SURRENDER,17,surrendered,4,17,7
17,SURRENDER,17,surrendered,9,17,5
17,SURRENDER,17,surrendered,0,17,13
15,SURRENDER,15,surrendered,4,15,11
18,STAND,18,lose,0,18,6
17,HIT,18,unsettled,5,17,2
12,HIT,22,bust,0,12,6
14,SURRENDER,14,surrendered,5,14,13
12,HIT,15,unsettled,9,12,4
15,HIT,16,unsettled,9,15,4
